,"Frequency, Hz","PSD, V_rms/sqrt(Hz)"
302,75750.0,2.28916e-07
303,76000.0,3.80585e-07
304,76250.0,2.16703e-07
305,76500.0,2.63526e-07
306,76750.0,1.90421e-07
307,77000.0,1.4545e-07
308,77250.0,1.0603e-07
309,77500.0,8.49187e-08
310,77750.0,1.61868e-07
311,78000.0,2.45446e-07
312,78250.0,6.02502e-08
313,78500.0,2.01153e-07
314,78750.0,2.31722e-07
315,79000.0,1.50661e-07
316,79250.0,1.38437e-07
317,79500.0,3.01321e-07
318,79750.0,2.64061e-07
319,80000.0,7.07343e-08
320,80250.0,2.02657e-07
321,80500.0,2.7989e-07
322,80750.0,2.34722e-07
323,81000.0,1.56164e-07
324,81250.0,2.00067e-07
325,81500.0,1.92755e-07
326,81750.0,1.1985e-07
327,82000.0,3.17658e-07
328,82250.0,2.61217e-07
329,82500.0,2.67479e-07
330,82750.0,1.43397e-07
331,83000.0,1.12766e-07
332,83250.0,6.65988e-08
333,83500.0,2.03757e-07
334,83750.0,1.22474e-07
335,84000.0,1.39472e-07
336,84250.0,2.1729e-07
337,84500.0,7.19415e-08
338,84750.0,7.31198e-08
339,85000.0,2.48119e-07
340,85250.0,1.1888e-07
341,85500.0,3.41751e-07
342,85750.0,2.30783e-07
343,86000.0,1.90035e-07
344,86250.0,3.60523e-07
345,86500.0,4.18132e-07
346,86750.0,2.98884e-07
347,87000.0,1.29464e-07
348,87250.0,8.31554e-08
349,87500.0,2.45114e-07
350,87750.0,1.98046e-07
351,88000.0,3.32171e-07
352,88250.0,3.7623e-07
353,88500.0,6.02502e-08
354,88750.0,7.1553e-08
355,89000.0,9.677e-08
356,89250.0,2.30627e-07
357,89500.0,8.85584e-08
358,89750.0,3.14024e-07
359,90000.0,1.57971e-07
360,90250.0,7.56881e-08
361,90500.0,6.02502e-08
362,90750.0,2.39213e-07
363,91000.0,3.50181e-07
364,91250.0,3.41519e-07
365,91500.0,4.05862e-07
366,91750.0,6.07005e-08
367,92000.0,1.61649e-07
368,92250.0,3.61012e-07
369,92500.0,1.39661e-07
370,92750.0,1.01397e-07
371,93000.0,9.61822e-08
